is_static,is_enum,uses_variables,call_method,is_interface,is_local_class,call_external_method,class_complexity,full_name,is_code_smell
False,False,False,False,False,False,False,8,com.android.calendar.alerts.GlobalDismissManager$android.os.AsyncTask1,True
False,False,False,False,False,False,False,7,com.android.calendar.event.EditEventHelperTest$TestProvider,True
False,False,False,False,False,False,False,6,com.android.ex.camera2.portability.CameraExceptionHandler$com.android.ex.camera2.portability.CameraExceptionHandler$CameraExceptionCallback1,True
False,False,False,False,False,False,False,6,com.android.ex.editstyledtext.EditStyledText$StyledTextHtmlStandard,True
False,False,False,False,False,False,False,5,com.android.calendar.event.EditEventHelperTest$android.test.mock.MockResourcesMockAbsCalendarActivity,True
False,False,False,False,False,False,False,5,com.android.calendar.ExtensionsFactory$com.android.calendar.CloudNotificationBackplane2,True
False,False,False,False,False,False,False,4,com.android.ex.chips.RecipientEditTextView$java.util.Comparator11,True
False,False,False,False,False,False,False,3,com.android.calendar.alerts.AlertUtils$com.android.calendar.alerts.AlarmManagerInterface1,True
False,False,False,False,False,False,False,3,com.android.calendar.ExtensionsFactory$com.android.calendar.AllInOneMenuExtensionsInterface1,True
False,False,False,False,False,False,False,3,com.android.ex.camera2.portability.AndroidCamera2AgentImpl$Camera2Handler$CameraResultStateCallback,True
False,False,False,False,False,False,False,2,com.android.calendar.event.CreateEventDialogFragment$android.content.DialogInterface$OnClickListener3,True
False,False,False,False,False,False,False,2,com.android.calendar.month.SimpleWeeksAdapter$CalendarGestureListener,True
False,False,False,False,False,False,False,2,com.android.calendar.EventInfoFragment$android.view.View.OnTouchListener11,True
False,False,False,False,False,False,False,2,com.android.ex.chips.RecipientEditTextView$android.os.Handler5,True
False,False,False,False,False,False,False,1,com.android.calendar.selectcalendars.SelectCalendarsSimpleAdapter$CalendarRow,True
False,False,False,False,False,False,False,1,com.android.calendar.selectcalendars.SelectCalendarsSyncAdapter$CalendarRow,True
False,False,False,False,False,False,False,1,com.android.common.speech.LoggingEvents$VoiceSearch,True
False,False,False,False,False,False,False,1,com.android.common.speech.LoggingEvents$VoiceIme,True
False,False,False,False,False,False,False,1,com.android.timezonepicker.TimeZoneFilterTypeAdapter$android.view.View.OnClickListener1,True
